"O que são os programas e ações de apoio ao aluno da UCS?","Ao ingressar na Universidade de Caxias do Sul, você passa a fazer parte de uma Instituição que já formou mais de 100 mil profissionais e que mantém como compromisso permanente apoiar seus milhares de estudantes na construção de uma significativa trajetória pessoal, acadêmica e profissional. Além das disciplinas que integram o currículo do seu curso, das atividades complementares exigidas pelo MEC, e das inúmeras possibilidades de aprendizagens e vivências culturais, científicas e de interação social que o colocam em contato com o seu futuro campo de atuação profissional, os programas e ações de apoio ao estudante também podem facilitar, e tornar mais seguro, o seu tempo de permanência na Universidade."
"O que é o seguro educacional da UCS?","Todos os acadêmicos matriculados em cursos de Graduação na modalidade presencial, assim como os estudantes do Centro Tecnológico da Universidade de Caxias do Sul podem optar pelo seguro educacional. O seguro é optativo e pode ser contratado no ato da primeira matrícula em nossas Centrais de Atendimento."
"Como funciona o Desconto-Família na UCS?","O Programa Desconto-Família é destinado aos acadêmicos matriculados em cursos de Graduação (exceto na modalidade a distância) que fazem parte de um mesmo grupo familiar. Segundo a Instrução Normativa DADM N° 01, de 30 de agosto de 2018, será concedido 10% de desconto sobre o valor da matrícula na Graduação para cada um dos integrantes do grupo familiar. Essa solicitação deve ser protocolada nas Centrais de Atendimento da UCS."
"Como funciona o Desconto-Sênior na UCS?","Todos os estudantes com 55 anos (ou mais), matriculados em um dos cursos de graduação na modalidade presencial (exceto no curso de Medicina) ou em um dos cursos de pós-graduação, stricto sensu (doutorados ou mestrados), têm direito a um desconto de 25% no preço das disciplinas contratadas. O Desconto-Sênior pode ser solicitado através de requerimento de protocolo nas centrais de Atendimento da Universidade. Ele não é cumulativo e, por isso, não pode ser concedido a estudantes que já possuem outros tipos de benefícios. Esse benefício está normatizado na Instrução Normativa Nº 03/2020, da Diretoria Administrativa e Financeira da UCS, publicada no dia 1º de setembro de 2020."
"Como funcionam os Descontos Especiais na UCS?","Mediante convênios entre a UCS e empresas e entidades. A Universidade de Caxias do Sul mantém acordos e convênios de cooperação com entidades públicas e privadas e também com empresas com a finalidade de facilitar o acesso - através de descontos nas matrículas - aos estudantes vinculados a essas organizações. Converse com seu empregador para saber se a sua empresa mantém algum acordo de cooperação com a Universidade que possa beneficiá-lo, ou consulte a Central de Atendimento da UCS."
"Como funcionam os Descontos para Membros da Brigada Militar na UCS?","A Universidade de Caxias do Sul, mediante convênio de cooperação com os Batalhões da Polícia Militar sediados nos municípios da região de abrangência da Universidade, concede descontos aos policiais militares ativos e inativos regularmente matriculados nos seus cursos de graduação, de pós-graduação stricto sensu (mestrados e doutorados), lato sensu (especialização e MBA) e de extensão. Já foram firmados os seguintes convênios: 12° BPM, CRPO SERRA (SEDE) e 3° BABM (SEDE) - Caxias do Sul. 5° CRB - São José dos Ausentes, Jaquirana, Cambará do Sul, São Chico, Canela, Gramado, Igrejinha, Três Coroas, Santa Maria do Herval, Nova Petrópolis e Picada Café. 36º BPM - Farroupilha, Nova Pádua, Ipê, Flores da Cunha, Antônio Prado, São Marcos e Nova Roma do Sul. 10º BPM - Vacaria, Bom Jesus, Monte Alegre dos Campos, Campestre da Serra, Esmeralda, Pinhal da Serra, Muitos Capões, Lagoa Vermelha, Ibiraiaras, Caseiros, Ibiaçá, Sananduva, São João da Urtiga, Santo Expedito do Sul, Tupanci do Sul, Cacique Doble, São José do Ouro, Barracão, Machadinho, Maximiliano de Almeida, Paim Filho e Capão Bonito do Sul. 3º BPAT - Bento Gonçalves, André da Rocha, Boa Vista do Sul, Carlos Barbosa, Coronel Pilar, Cotiporã, Fagundes Varela, Garibaldi, Guaporé, Guabijú, Monte Belo do Sul, Montauri, Nova Araçá, Nova Bassano, Nova Prata, Paraí, Pinto Bandeira, Protásio Alves, São Jorge, Santa Tereza, Serafina Correa, União da Serra, Vila Flores, Vista Alegre do Prata e Veranópolis."
"Como funciona o financiamento Banrisul na UCS?","Mediante acordo com o Banrisul, a UCS oferece aos estudantes matriculados em cursos de Graduação na modalidade presencial a possibilidade de contratar o financiamento de seus estudos com juros subsidiados. Como parte da taxa de juros oferecida pelo Banco será subsidiada pela Universidade, o percentual contratado pelo estudante ficará abaixo dos índices comumente praticados pelo mercado financeiro. Para obter o crédito, o estudante deve retirar seu comprovante de matrícula na Central de Atendimento da UCS e procurar uma agência do Banrisul. Cabe ao Banco proceder a análise cadastral, verificar o preenchimento de requisitos - entre os quais a matrícula em, no mínimo, quatro disciplinas no período letivo - e fornecer as orientações sobre as demais condições contratuais. O subsídio da UCS não está disponível para o curso de Medicina, que conta com modelo de financiamento específico."
"Como funciona o financiamento Estudantil com CredIEs - Fundacred na UCS?","Mediante convênio Fundação Universidade de Caxias do Sul, entidade mantenedora da Universidade de Caxias do Sul - UCS, por meio do convênio estabelecido com a Fundação de Crédito Educativo - Fundacred, concederá crédito educacional aos estudantes selecionados dos cursos de graduação presencial."
"Como funciona o FIES - Financiamento ao Estudante do Ensino Superior na UCS?","No ano de 2019, a Universidade de Caxias do Sul oferecerá vagas no novo FIES. Os estudantes interessados em solicitar financimento devem manter-se atentos aos prazos de inscrição do FIES. Não há alterações para os estudantes que estão com contratos vigentes, pois permanecem as regras de financiamento anteriores a 2018."
"Como funciona o financiamento - PRAVALER na UCS?","Para te ajudar a realizar o seu sonho de estudar, a UCS em parceria com o PRAVALER oferece aos alunos a oportunidade de financiar seus estudos SEM JUROS!"
"Como funciona o Financiamento - SANTANDER na UCS?","Para te ajudar a realizar o seu sonho de estudar, a UCS em parceria com o SANTANDER oferece aos alunos a oportunidade de financiamento Graduação Saúde."
"Como funciona o Financiamento - SICREDI na UCS?","A UCS, em parceria com o SICREDI, oferece aos alunos a oportunidade de financiamento com taxas diferenciadas nos cursos de Graduação."
"Como funciona o ProUni - Programa Universidade para Todos na UCS?","Programa do Ministério da Educação, criado pelo Governo Federal em 2004, que oferece bolsas de estudo integrais (100%) e parciais (50%) em instituições privadas de educação superior, em cursos de graduação e sequenciais de formação específica, segundo critérios e cronograma estabelecidos pelo próprio Ministério da Educação."
"Como funciona o UCS Carreiras?","Estágio Curricular - Obrigatório (remunerado ou não). A UCS, por meio de convênios com empresas e instituições, busca disponibilizar oportunidades de estágio curricular obrigatório aos seus alunos. Estágio Não Obrigatórios - Remunerados. O programa UCS Carreiras tem como objetivo a inserção do acadêmico no mercado de trabalho, por meio de estágios. A iniciativa aproxima alunos dos cursos de bacharelado, tecnologia e licenciaturas, além de estudantes do Ensino Médio do Cetec, com as organizações da região. Por meio do exercício profissional, os acadêmicos podem experienciar a rotina da profissão que escolheram, aliando os conhecimentos práticos à teoria da sala de aula. O programa mantém parcerias com organizações de diferentes setores de Caxias do Sul e região e, com isso, oferece ao aluno as melhores oportunidades de estágios."
"Como funciona o serviço voluntário na UCS?","Os acadêmicos matriculados em cursos de Graduação podem participar, de forma voluntária, de atividades práticas e não remuneradas, que atendam a seus interesses - cívicos, educacionais, culturais, científicos, recreativos, assistenciais e de saúde - e que possam contribuir para a sua formação pessoal e profissional."
"Quais ações que favorecem a inclusão e integração dos acadêmicos na UCS?","Núcleo de Apoio ao Estudante (NAE) promove ações integradas e integradoras que propiciam uma convivência estudantil universitária livre de segregação, de discriminação e de exclusão de qualquer natureza. O Serviço de Psicologia Aplicada (SEPA) oferece ao acadêmico da UCS atendimento psicológico. O serviço é realizado por psicólogos profissionais voluntários através do Serviço de Atendimento Psicológico e de Orientação Psicopedagógica da UCS (SAP/SEPA)."
